industry_description,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases
Admin Office,0,0,0,0
Admin and Support Offices,1,0,1,0
Administration,30,0,17,6
Administration building construction,36,0,28,1
Administration of Air and Water Resource and Solid Waste Management Programs,67,0,28,18
Administration of Conservation Programs,112,1,12,62
Administration of Education Programs,3,0,0,2
Administration of General Economic Programs,6,0,2,3
Administration of Housing Programs,0,0,0,0
Administration of Human Resource Programs,8,0,3,0
"Administration of Human Resource Programs (except Education, Public Health, and Veterans' Affairs Programs)",657,0,127,129
Administration of Human Resource Programs except Education Public Health and Veterans Affairs Programs,0,0,0,0
Administration of Public Health,0,0,0,0
Administration of Public Health Programs,20,0,6,12
Administration of Urban Planning and Community and Rural Development,9,0,4,2
Administration of Veterans' Affairs,0,0,0,0
Administration of conservation programs,2,0,0,1
Administration of public health programs,0,0,0,0
Administrative,0,0,0,0
Administrative Management Services,8,0,6,0
Administrative Management and General Management Consulting Services,0,0,0,0
Administrative Office,0,0,0,0
Administrative Office support services,1,0,0,0
Administrative Services,55,0,39,21
Administrative and Support Services,0,0,0,0
Administrative and Support services,0,0,0,0
Administrative courts,159,0,151,40
Administrative management consulting services,87,0,42,17
Administrative management services,326,0,234,68
Administrators of private estates,0,0,0,0
Adminstative Services,0,0,0,0
Adobe bricks manufacturing,17,0,10,4
Adoption agencies,72,0,6,14
"Adoption services, child",21,0,6,11
"Adrenal derivatives, uncompounded, manufacturing",5,0,4,0
Adrenal medicinal preparations manufacturing,107,0,42,49
Adult Education,0,0,0,0
Adult Foster Care,4,0,1,2
Adult and Child corporate foster care,9,0,3,1
Adult and Child residential corporate foster care,23,0,6,10
Advanced/technical ceramic product manufacturing,19,0,7,4
Advertising agencies,11,0,0,9
Advertising agency consulting services,0,0,0,0
Advertising material preparation services for mailing or other direct distribution,64,0,14,41
"Advertising materials (e.g., coupons, flyers) commercial printing (except screen) without publishing",31,0,11,1
Advertising periodical publishers and printing combined,2,0,0,0
"Advertising periodical publishers, exclusively on Internet",0,0,0,0
"Advertising services, indoor or outdoor display",1,0,0,1
"Advertising specialty (e.g., keychain, magnet, pen) distribution services",28,0,5,12
"Advisory commissions, executive government",553,0,130,202
"Advisory commissions, legislative",127,0,84,5
Aerial cameras manufacturing,1,0,0,0
"Aerial dusting or spraying (i.e., using specialized or dedicated aircraft)",8,0,2,2
Aerial geophysical surveying services,0,0,0,0
"Aerial or picker truck, construction, rental with operator",127,1,57,33
Aerial surveying (except geophysical) services,5,0,0,0
"Aerial tramway, scenic and sightseeing, operation",5,0,3,0
Aerial work platforms manufacturing,258,0,62,120
Aerobic dance and exercise centers,24,0,5,7
Aeronautical equipment and supplies merchant wholesalers,36,0,10,13
Aeronautical systems and instruments manufacturing,97,0,38,20
Aerosol can filling on a job order or contract basis,30,0,9,12
"Aerosol cans, light gauge metal, manufacturing",84,0,27,30
Aerosol packaging services,29,0,9,13
Aerosol valves manufacturing,61,0,17,26
Aerospace,55,0,21,18
Aerospace Electronic Systems,0,0,0,0
Aerospace Manufacturin,2,0,0,3
Aerospace Manufacturing,0,0,0,0
Aerospace Products & Parts Manfacturing,4,0,1,3
Aerospace manufacturing,1,0,0,1
Aerospace research and development (except prototype production),13,0,4,5
Aerospace/Defense,3,0,0,1
After-shave preparations manufacturing,51,0,17,12
"Aftercoolers (i.e., heat exchangers) manufacturing",129,0,39,36
Aftermarket Oil & Gas,0,0,0,0
Aftermarket Oil & Gas Facility,0,0,0,0
Aftermarket support for (MRO) of aircraft systems: Cargo Lighting Actuation Heliservo Landing Gear Structural Deicing Hoist & Winch AMS Fans order management spares logistics and aircraft on ground services,1,0,0,0
Agar culture media manufacturing,12,0,12,5
Agave farming,15,0,2,8
"Agencies, insurance",6,0,1,0
"Agencies, loan",2,0,25,0
"Agencies, real estate",62,0,29,12
"Agencies, real estate escrow",19,0,7,7
"Agents and brokers, durable goods, wholesale trade",128,0,39,57
"Agents and brokers, nondurable goods, wholesale trade",42,0,21,18
Agents for wireless telecommunications carriers,0,0,0,0
"Agents' offices, real estate escrow",0,0,0,0
"Agents, laundry and drycleaning",93,0,36,31
"Agents, real estate",16,0,7,4
"Agents, shipping",27,0,15,6
"Agglomerates, iron ore, beneficiating",4,0,2,1
Aggregate spreaders manufacturing,102,0,27,44
Aggregates,0,0,0,0
Aging services and programs for elderly citizens,0,0,0,0
Agreement corporation (except international trade financing),81,0,7,19
Agricultural,0,0,0,0
"Agricultural (i.e., crop, livestock) insurance carriers, direct",22,0,4,9
Agricultural Cooperative,14,0,3,4
Agricultural Equipment,10,0,6,3
Agricultural Farm,3,0,0,3
Agricultural chemicals merchant wholesalers,305,0,117,68
Agricultural consulting services,30,0,3,4
Agricultural cooperative extension program administration,31,0,10,13
"Agricultural handtools (e.g., hay forks, hoes, rakes, spades), nonpowered, manufacturing",2,0,1,1
Agricultural implements merchant wholesalers,11,0,6,1
Agricultural lime manufacturing,1,0,1,0
Agricultural limestone merchant wholesalers,6,0,1,2
Agricultural limestone mining and/or beneficiating,0,0,0,0
Agricultural machinery and equipment merchant wholesalers,256,0,85,53
Agricultural machinery and equipment rental or leasing,29,0,2,3
Agricultural machinery and equipment repair and maintenance services,341,0,98,89
Agricultural marketing services government,0,0,0,0
"Agricultural organizations (except youth farming organizations, farm granges)",11,0,6,1
"Agricultural pest and weed regulation, government",4,0,3,1
"Agricultural products trucking, local",244,1,156,35
Agricultural property rental leasing,1,0,1,0
Agriculture,72,0,11,40
Agriculture Construction,16,0,3,0
Agriculture Farming,27,0,16,0
Agriculture and food,20,0,1,16
Agriculture fair boards administration,0,0,0,0
Agriculture production or harvesting crews,1398,2,606,395
Agriculture research and development laboratories or services (except biotechnology and nanotechnology research and development),0,0,0,0
Agriculture research and development laboratories or services (except biotechnology research and development),8,0,3,0
Agriculture-Farm Labor Contractor,84,0,30,36
Aid to families with dependent children (AFDC),33,0,2,2
"Air & Water systems testing, adjusting & balance",0,0,0,0
Air Ambulance Support Service,0,0,0,0
Air Compressor,16,0,3,7
Air Filter Distributer,1,0,0,1
Air Filter Manufacturing,16,0,2,10
Air Force,2,0,0,2
Air Medical Ambulance,1,0,0,0
Air ambulance services,223,3,84,80
Air and Gas Compressor Manufacturing,4,0,2,0
Air bag assemblies manufacturing,115,0,30,89
Air boat building,31,0,7,5
"Air brake systems and parts, automotive, truck, and bus, manufacturing",105,0,39,45
"Air cargo carriers (except air couriers), scheduled",54,0,43,2
"Air cargo containers, light gauge metal, manufacturing",87,0,25,19
Air circuit breakers manufacturing,27,0,3,15
"Air commuter carriers, scheduled",35,0,8,2
Air compressors,0,0,0,0
Air compressors manufacturing,151,0,61,43
Air conditioning & Warm Air Heating Equipment & Industrial Refrigeration Equuipment Manufacturer,0,0,0,0
Air courier services (except establishments operating under a universal service obligation),544,0,174,337
"Air cowls, sheet metal (except stampings), manufacturing",388,0,122,118
"Air filters, automotive, truck, and bus, manufacturing",218,0,94,67
"Air flow controllers (except valves), air-conditioning and refrigeration, manufacturing",16,0,12,4
Air laid nonwoven fabrics manufacturing,82,0,35,38
Air management systems propellers; engine controls; flight control computers; pumps Sapce hardware and Overhaul and Repair,12,0,4,1
"Air passenger carriers, nonscheduled",41,3,19,0
"Air passenger carriers, scheduled",217,0,145,19
Air pollution control equipment and supplies merchant wholesalers,31,0,8,20
"Air purification equipment, portable, manufacturing",1,0,0,1
"Air purification equipment, stationary, manufactur",0,0,0,0
"Air purification equipment, stationary, manufacturing",323,0,106,114
"Air receiver tanks, heavy gauge metal, manufacturing",9,0,2,3
Air scrubbing systems manufacturing,5,0,1,1
Air show managers with facilities,49,0,5,3
Air system balancing and testing,473,0,152,90
Air traffic control radar systems and equipment manufacturing,1,0,0,0
Air traffic control schools,2,0,1,1
Air traffic control services (except military),4,0,1,1
Air vent installation,36,0,21,6
Air-Condition and War Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manuf,4,0,0,0
Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing,44,0,11,12
"Air-conditioner, window, repair and maintenance services",3,0,2,1
"Air-conditioners, motor vehicle, manufacturing",101,0,18,54
"Air-conditioners, room, merchant wholesalers",6,0,1,5
"Air-conditioners, unit (e.g., motor home, travel trailer, window), manufacturing",139,0,46,48
Air-conditioning and warm air heating combination units manufacturing,779,0,190,341
Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing,1,0,1,0
Air-conditioning compressors (except motor vehicle) manufacturing,22,0,6,3
Air-conditioning condensers and condensing units manufacturing,72,0,27,31
Air-conditioning equipment (except motor vehicle) manufacturing,106,0,45,30
Air-conditioning equipment (except room units) merchant wholesalers,77,0,24,24
Air-conditioning supply,1,0,0,0
Air-conditioning system (except window) installation,461,0,179,118
Airbag Assemblies Manufacturing,7,0,2,3
Airborne navigational systems manufacturing,8,0,1,1
Airborne radio communications equipment manufacturing,62,0,21,26
"Aircraft Assemblies,Subassemblies and Parts Manufacturing",6,0,1,0
"Aircraft Engine Component Repair (Hot Section), OEM Coatings",4,0,0,2
Aircraft Engine Parts Manufacturing (blades &amp; vanes),0,0,0,0
Aircraft Engine and Engine Parts Manufacturing,240,0,95,24
Aircraft Fueling,41,0,13,15
Aircraft Fuelling,52,0,3,14
Aircraft Fuelling services,0,0,0,0
Aircraft Ground Handling,12,0,4,3
Aircraft Maintenance,36,0,10,5
Aircraft Manufacturing,390,0,150,196
Aircraft Parts & Auxiliary Equipment Manufact,5,0,4,0
Aircraft Parts and Auxiliary Equipment NEC,1,0,0,0
Aircraft Parts and Auxiliary Equipment Not Elsewhere Classified,4,0,2,0
"Aircraft Parts and Auxiliary Equipment, Not Elsewhere Classified",0,0,0,0
Aircraft Parts and Equipment  Nec,0,0,0,0
Aircraft Parts and Equipment Nec,1,0,0,1
"Aircraft Parts and Equipment, Nec",2,0,0,1
Aircraft Seat Manufacturer,1,0,1,0
Aircraft Seating Engineering  R&D,0,0,0,0
Aircraft Subcontractor,0,0,0,0
Aircraft and airport fuel services,3,0,3,0
"Aircraft and automotive wire and cable (except aluminum, copper) made from purchased nonferrous metals (except aluminum, copper) in wire drawing plants",2,0,1,1
Aircraft and automotive wire or cable made from purchased copper in wire drawing plants,65,0,24,21
Aircraft artillery manufacturing,13,0,2,1
"Aircraft assemblies, subassemblies, and parts (except engines) manufacturing",1386,0,482,451
"Aircraft auxiliary parts (e.g., crop dusting, external fuel tanks, inflight refueling equipment) manufacturing",76,0,13,22
Aircraft brakes manufacturing,5,0,1,1
Aircraft carrier catapults manufacturing,29,0,7,2
"Aircraft charter services (i.e., general purpose aircraft used for a variety of specialty air and flying services)",9,0,3,0
"Aircraft charter services, passenger",18,0,13,1
Aircraft control surface assemblies manufacturing,15,0,3,11
"Aircraft conversions (i.e., major modifications to system)",74,0,28,5
Aircraft dealers,3,0,2,0
"Aircraft engine and engine parts (except carburetors, pistons, piston rings, valves) manufacturing",354,0,111,134
Aircraft engine and engine parts manufacturing,0,0,0,0
Aircraft engine cradles manufacturing,0,0,0,0
Aircraft engine instruments manufacturing,8,0,4,1
Aircraft engine overhauling,56,0,17,18
Aircraft engine rebuilding,9,0,4,5
Aircraft engines and parts merchant wholesalers,21,0,5,11
Aircraft equipment and supplies merchant wholesalers,3,0,1,1
Aircraft ferrying services,17,0,8,4
Aircraft flight instruments (except engine instruments) manufacturing,10,0,2,6
Aircraft fueling,1,0,0,1
Aircraft fuelling,12,0,0,2
Aircraft fuelling and fuel farm management.,0,0,0,0
Aircraft fuelling services,0,0,0,0
Aircraft fuselage wing tail and similar assemblies manufacturing,5,0,4,0
Aircraft ground handling,16,0,0,2
Aircraft ground handling services,4,0,0,0
Aircraft hangar rental,18,0,5,3
"Aircraft hardware, metal, manufacturing",42,0,13,14
Aircraft inspection services,39,0,17,20
"Aircraft inspection, government",24,0,5,18
Aircraft janitorial services,194,0,58,97
Aircraft lighting fixtures manufacturing,1,0,1,0
Aircraft loading hoists manufacturing,9,0,1,5
"Aircraft maintenance and repair services (except factory conversion, factory overhaul, factory rebui",9,0,2,0
"Aircraft maintenance and repair services (except factory conversion, factory overhaul, factory rebuilding)",797,0,331,199
Aircraft manufacturing,2394,0,812,1527
Aircraft overhauling,28,0,12,11
Aircraft parking service,2,0,2,0
Aircraft parts and auxiliary eqiupment manufacturing,1,0,1,0
Aircraft propellers and parts manufacturing,14,0,3,4
"Aircraft rebuilding (i.e., restoration to original design specifications)",2,0,0,1
Aircraft rental and leasing,0,0,2,0
Aircraft seats manufacturing,38,0,10,22
Aircraft sub-assemblies and parts manufacturing,0,0,0,0
Aircraft subassemblies and parts manufacturing,13,0,2,3
Aircraft testing services,0,0,0,0
Aircraft tie down strap assemblies (except leather) manufacturing,14,0,1,13
Aircraft tire manufacturing,87,1,31,42
Aircraft turbines manufacturing,20,0,6,1
Aircurtains manufacturing,10,0,2,6
Airframe assemblies (except for guided missiles) manufacturing,12,0,4,6
Airframe assemblies for guided missiles manufacturing,0,0,0,0
Airframe equipment instruments manufacturing,2,0,0,1
Airfreshners manufacturing,26,0,16,8
Airline Cargo Handling,0,0,0,0
Airline Ground Service Provider,90,0,20,48
Airline Ground services,0,0,0,0
Airline cargo Service Provider,4,0,0,0
Airline cargo handling,6,0,1,5
Airline cargo warehouse handling,4,0,0,3
Airline food services contractors,298,0,155,109
Airline ground handling,25,0,4,13
Airline ground handling services,6,0,1,3
Airline ground service handing,50,0,0,22
Airline reservation services,0,0,0,0
Airline/Airport Fueling Services,0,0,0,0
"Airlocks, fabricated metal plate work, manufacturing",69,0,25,10
Airport Facilities Service and Maintenance,6,0,1,1
Airport Facilities and Maintenance,3,0,0,1
Airport Facility and Equipment Service and Maintenance,0,0,0,0
Airport Fuel Management,0,0,0,0
Airport Fuel Storage and Distribution,1,0,0,0
Airport Fuel management,0,0,0,0
Airport Ramp Workers,11,0,4,4
Airport Services - Facility Maintenance,1,0,0,0
Airport Shuttle Service,3,0,0,2
Airport baggage handling services,770,0,423,168
Airport building construction,0,0,0,0
Airport cargo handling services,128,0,48,36
Airport facilities and maintenance,1,0,0,0
Airport facilities services and maintenance,0,0,0,0
Airport fuel farm management,0,0,0,0
Airport fuel farm management.,2,0,0,0
Airport fuel management,2,0,0,0
Airport lighting transformers manufacturing,0,0,0,0
"Airport limousine services (i.e., shuttle)",20,0,8,0
"Airport operators (e.g., civil, international, national)",384,0,212,111
Airport passenger screen security services,133,1,28,46
Airport passenger screening security services,191,0,135,33
Airport runway construction,1,0,1,0
Airport runway lighting contractors,1,0,0,0
Airport runway maintenance services,3,0,2,0
Airport shuttle services,18,0,11,1
Airport terminal construction,1,0,1,0
"Airports, civil, operation and maintenance",419,0,203,74
"Alarm apparatus, electric, merchant wholesalers",198,1,110,29
"Alarm system (e.g., fire, burglar), electric, installation only",4,0,3,0
Alarm system central monitoring equipment manufacturing,26,0,2,16
Alarm system monitoring services,11,0,4,0
Alarm systems and equipment manufacturing,14,0,5,8
"Alarm systems sales combined with installation, repair, or monitoring services",111,0,48,3
"Albums, photo, merchant wholesalers",15,0,5,6
Alcohol Wholesale,126,0,83,29
"Alcohol, industrial, merchant wholesalers",1,0,0,0
"Alcohol, tobacco, and firearms control",165,0,29,107
Alcoholic beverage control boards,12,0,2,1
Alcoholic beverage delivery service,21,0,13,3
Alcoholic beverage drinking places,26,0,4,10
Alcoholic beverages (except brandy) distilling,14,0,9,2
"Alcoholic beverages (except distilled spirits, wine) merchant wholesalers",96,0,43,27
"Alcoholic beverages, brandy, distilling",140,0,67,56
"Alcoholic beverages, wine and distilled spirits merchant wholesalers",1758,1,844,638
Alcoholism and drug addiction self-help organizations,44,0,42,4
"Alcoholism counseling (except medical treatment), nonresidential",5,0,3,1
"Alcoholism rehabilitation facilities (except licensed hospitals), residential",288,0,161,47
Alcoholism rehabilitation hospitals,95,0,29,17
